question,distractor,answer
1) Двигателните мускулите са изградени от:,скелетна мускулна тъкан и съединителна тъкан,1
,гладка мускулна тъкан и нервна тъкан,
,сърцева мускулна тъкан и съединителна тъкан,
,гладка мускулна тъкан и съединителна тъкан,
3) Митохондриите и хлоропластите са:,двумембранни клетъчни органели,1
,едномембранни клетъчни органели,
,немембранни клетъчни органели,
,нито едно от посочените,
"4) За митозата и мейозата е вярно, че:",са характерни за прокариотните клетки,
,са характерни за еукариотните клетки,1
,са катаболитни процеси,
,протичат само в половите клетки,
"5) Какъв е крайният продукт, когато една диплоидна клетка с 16 хромозоми се раздели чрез митоза?","2 клетки, всяка с 8 хромозоми",
,"2 клетки, всяка с 16 хромозоми",1
,"4 клетки, всяка с 8 хромозоми",
,"4 клетки, всяка с 16 хромозоми",
"6) Какъв е крайният продукт, когато една диплоидна клетка с 16 хромозоми се раздели чрез мейоза?","2 клетки, всяка с 8 хромозоми",
,"2 клетки, всяка с 16 хромозоми",
,"4 клетки, всяка с 8 хромозоми",1
,"4 клетки, всяка с 16 хромозоми",
7) В кой от примерите е представено кръстосване на два хетерозиготни индивида?,Аа х Bb,1
,АА х ВВ,
,аа х  bb,
,АA х bb,
8) Гладката мускулна тъкан изгражда:,нервите,
,черния дроб,
,скелетните мускули,
,стената на стомаха,1
"9) Основните химични елементи, които изграждат клетката са:","C, H, O, N",1
,"C, H, P, S",
,"H, P, S, O",
,"C, Na, K, Ca",
12) Кои органели са характерни само за растителните клетки?,"вакуола, ядро, клетъчна стена",
,"вакуола, хлоропласти, клетъчна стена",1
,"хлоропласти, митохондрии, рибозоми",
,"митохондрии, ядро, рибозоми",
14) Чрез кой тип клетъчно делене нарастват многоклетъчните организми?,мейоза,
,амитоза,
,митоза,1
,просто делене,
15) В йерархията на живата материя мезозистема се нарича:,клетката,
,биоценозата,
,биосферата,
,многоклетъчния организъм, 1
